280	 0.005
279	-0.017
278	 0.004
277	-0.015
276	-0.007
275	-0.016
274	-0.013
273	-0.010
272	-0.011
271	-0.012
270	-0.001
269	-0.005
268	-0.005
267	-0.004
266	-0.005
265	-0.012
264	-0.009
263	-0.007
262	-0.007
261	-0.004
260	-0.007
259	-0.010
258	-0.003
257	-0.004
256	-0.002
255	-0.003
254	 0.000
253	-0.005
252	-0.011
251	-0.027
250	-0.035
249	-0.036
248	-0.034
247	-0.037
246	-0.040
245	-0.054
244	-0.060
243	-0.062
242	-0.061
241	-0.068
240	-0.066
239	-0.074
238	-0.074
237	-0.062
236	-0.041
235	-0.016
234	 0.010
233	 0.040
232	 0.077
231	 0.098
230	 0.105
229	 0.125
228	 0.138
227	 0.154
226	 0.157
225	 0.159
224	 0.125
223	 0.095
222	 0.049
221	 0.014
220	-0.027
219	-0.078
218	-0.142
217	-0.201
216	-0.266
215	-0.324
214	-0.392
213	-0.482
212	-0.592
211	-0.724
210	-0.890
209	-1.084
208	-1.314
207	-1.572
206	-1.865
205	-2.071
