280	-0.086
279	-0.012
278	-0.048
277	-0.029
276	-0.036
275	-0.056
274	-0.053
273	-0.070
272	-0.025
271	-0.007
270	 0.011
269	 0.005
268	-0.002
267	-0.025
266	-0.018
265	-0.048
264	-0.052
263	 0.006
262	 0.027
261	 0.021
260	 0.004
259	-0.022
258	-0.033
257	-0.036
256	-0.048
255	-0.068
254	-0.076
253	-0.047
252	-0.035
251	-0.052
250	-0.068
249	-0.076
248	-0.067
247	-0.060
246	-0.063
245	-0.079
244	-0.080
243	-0.101
242	-0.140
241	-0.151
240	-0.182
239	-0.148
238	-0.138
237	-0.156
236	-0.166
235	-0.136
234	-0.133
233	-0.068
232	-0.037
231	-0.022
230	-0.017
229	 0.025
228	 0.073
227	 0.144
226	 0.189
225	 0.224
224	 0.234
223	 0.252
222	 0.316
221	 0.331
220	 0.302
219	 0.239
218	 0.148
217	 0.065
216	 0.020
215	-0.055
214	-0.122
213	-0.193
212	-0.262
211	-0.394
210	-0.573
209	-0.803
208	-1.006
207	-1.217
206	-1.373
205	-1.542
204	-1.711
203	-1.872
202	-2.065
201	-2.234
200	-2.432
199	-2.638
198	-2.818
197	-3.053
196	-3.169
195	-3.283
194	-3.471
193	-3.492
192	-3.481
191	-3.405
190	-3.176
189	-2.978
188	-2.843
187	-2.595
186	-2.383
185	-2.141
184	-1.880
183	-1.650
182	-1.565
181	-1.448
180	-1.406
179	-1.465
178	-1.515
177	-1.680
176	-1.865
175	-1.939
174	-1.852
173	-2.138
