Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_002.dat /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_001.dat
  6.590866e-01   2.953707e-02   1.621747e-04
  6.639723e-01   2.913011e-02   1.603833e-04
  6.688580e-01   2.900922e-02   1.590911e-04
  6.737437e-01   2.865691e-02   1.570541e-04
  6.786295e-01   2.859876e-02   1.575128e-04
  6.835152e-01   2.813529e-02   1.562414e-04
  6.884009e-01   2.821232e-02   1.546122e-04
  6.932866e-01   2.801322e-02   1.547747e-04
  6.981723e-01   2.756389e-02   1.543154e-04
  7.030581e-01   2.720850e-02   1.515503e-04
  7.079438e-01   2.712065e-02   1.507447e-04
  7.128295e-01   2.691403e-02   1.505150e-04
  7.177152e-01   2.655949e-02   1.503690e-04
  7.226010e-01   2.619843e-02   1.489312e-04
  7.274867e-01   2.605207e-02   1.472870e-04
  7.323724e-01   2.600728e-02   1.478208e-04
  7.372581e-01   2.563448e-02   1.459281e-04
  7.421439e-01   2.513772e-02   1.448426e-04
  7.470296e-01   2.500294e-02   1.444375e-04
  7.519153e-01   2.498265e-02   1.445747e-04
  7.568010e-01   2.460933e-02   1.431777e-04
  7.616867e-01   2.427953e-02   1.414741e-04
  7.665725e-01   2.421953e-02   1.413027e-04
  7.714582e-01   2.386611e-02   1.415078e-04
  7.763439e-01   2.420641e-02   1.399164e-04
  7.812296e-01   2.370343e-02   1.388766e-04
  7.861154e-01   2.354757e-02   1.390563e-04
  7.910011e-01   2.314139e-02   1.389319e-04
  7.958868e-01   2.273425e-02   1.363966e-04
  8.007725e-01   2.264710e-02   1.355481e-04
  8.056582e-01   2.283538e-02   1.364103e-04
  8.105440e-01   2.213377e-02   1.349347e-04
  8.154297e-01   2.230439e-02   1.348347e-04
  8.203154e-01   2.199068e-02   1.330777e-04
  8.252011e-01   2.188640e-02   1.335865e-04
  8.300869e-01   2.155140e-02   1.317855e-04
  8.349726e-01   2.153174e-02   1.316764e-04
  8.398583e-01   2.129452e-02   1.316781e-04
  8.447440e-01   2.104244e-02   1.311319e-04
  8.496298e-01   2.087176e-02   1.299399e-04
  8.545155e-01   2.091232e-02   1.283117e-04
  8.594012e-01   2.086267e-02   1.296036e-04
  8.642869e-01   2.025112e-02   1.282469e-04
  8.691726e-01   2.057299e-02   1.274651e-04
  8.740584e-01   1.997728e-02   1.268688e-04
  8.789441e-01   1.998459e-02   1.268609e-04
  8.838298e-01   1.976511e-02   1.256102e-04
  8.887155e-01   1.955770e-02   1.248155e-04
  8.936013e-01   1.955732e-02   1.241697e-04
  8.984870e-01   1.931958e-02   1.245385e-04
  9.033727e-01   1.898586e-02   1.230099e-04
  9.082584e-01   1.869665e-02   1.226825e-04
  9.131441e-01   1.872286e-02   1.219924e-04
  9.180299e-01   1.862946e-02   1.225955e-04
  9.229156e-01   1.830873e-02   1.209700e-04
  9.278013e-01   1.826065e-02   1.195321e-04
  9.326870e-01   1.817616e-02   1.208806e-04
  9.375728e-01   1.785595e-02   1.195866e-04
  9.424585e-01   1.759184e-02   1.183946e-04
  9.473442e-01   1.759938e-02   1.179585e-04
  9.522299e-01   1.735369e-02   1.189494e-04
  9.571157e-01   1.747513e-02   1.171784e-04
  9.620014e-01   1.713267e-02   1.170196e-04
  9.668871e-01   1.712832e-02   1.163445e-04
  9.717728e-01   1.686426e-02   1.162318e-04
  9.766585e-01   1.667354e-02   1.154605e-04
  9.815443e-01   1.656709e-02   1.146426e-04
  9.864300e-01   1.637973e-02   1.148148e-04
  9.913157e-01   1.634198e-02   1.149341e-04
  9.962014e-01   1.629475e-02   1.137651e-04
  1.001087e+00   1.606948e-02   1.130717e-04
  1.005973e+00   1.600894e-02   1.135907e-04
  1.010859e+00   1.584693e-02   1.127938e-04
  1.015744e+00   1.583775e-02   1.119013e-04
  1.020630e+00   1.559074e-02   1.120158e-04
  1.025516e+00   1.560659e-02   1.120870e-04
  1.030401e+00   1.526769e-02   1.110242e-04
  1.035287e+00   1.529714e-02   1.104440e-04
  1.040173e+00   1.495014e-02   1.105099e-04
  1.045059e+00   1.494304e-02   1.102758e-04
  1.049944e+00   1.484176e-02   1.097152e-04
  1.054830e+00   1.467180e-02   1.092657e-04
  1.059716e+00   1.465300e-02   1.091737e-04
  1.064602e+00   1.430600e-02   1.087577e-04
  1.069487e+00   1.426065e-02   1.079198e-04
  1.074373e+00   1.445057e-02   1.077925e-04
  1.079259e+00   1.431084e-02   1.092847e-04
  1.084144e+00   1.398111e-02   1.096917e-04
  1.089030e+00   1.375232e-02   1.096446e-04
  1.093916e+00   1.378669e-02   1.094801e-04
  1.098802e+00   1.366975e-02   1.102073e-04
  1.103687e+00   1.349941e-02   1.097157e-04
  1.108573e+00   1.338069e-02   1.095642e-04
  1.113459e+00   1.346605e-02   1.099776e-04
  1.118345e+00   1.311591e-02   1.096769e-04
