Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): 4p77.dat
  7.768555e-02   6.973090e-02   2.195730e-03
  8.273493e-02   6.963554e-02   1.209166e-03
  8.745700e-02   6.749060e-02   9.917363e-04
  9.234272e-02   6.958415e-02   8.396561e-04
  9.722845e-02   7.009034e-02   7.576061e-04
  1.021142e-01   6.903602e-02   6.886497e-04
  1.069999e-01   6.708966e-02   6.426336e-04
  1.118856e-01   6.778164e-02   6.042613e-04
  1.167713e-01   6.840730e-02   5.659723e-04
  1.216571e-01   6.828083e-02   5.472711e-04
  1.265428e-01   6.717665e-02   5.209381e-04
  1.314285e-01   6.644679e-02   5.057970e-04
  1.363142e-01   6.746888e-02   4.839238e-04
  1.412000e-01   6.684509e-02   4.708930e-04
  1.460857e-01   6.619963e-02   4.508697e-04
  1.509714e-01   6.573207e-02   4.445558e-04
  1.558571e-01   6.605897e-02   4.272704e-04
  1.619601e-01   6.513850e-02   4.148115e-04
  1.689042e-01   6.394725e-02   2.878549e-04
  1.761461e-01   6.421734e-02   3.880348e-04
  1.836984e-01   6.326736e-02   2.689383e-04
  1.915746e-01   6.288227e-02   2.578960e-04
  1.997884e-01   6.214511e-02   3.549938e-04
  2.083544e-01   6.165247e-02   2.458832e-04
  2.172877e-01   6.076286e-02   2.369364e-04
  2.266040e-01   6.031565e-02   2.307772e-04
  2.363198e-01   5.981347e-02   2.227605e-04
  2.464521e-01   5.888093e-02   2.179373e-04
  2.570188e-01   5.810227e-02   2.122235e-04
  2.680386e-01   5.708830e-02   1.745996e-04
  2.795309e-01   5.587251e-02   2.229222e-04
  2.915159e-01   5.468207e-02   1.853651e-04
  3.040148e-01   5.395470e-02   2.204078e-04
  3.170496e-01   5.315917e-02   1.733115e-04
  3.306432e-01   5.207510e-02   1.612106e-04
  3.448197e-01   5.042450e-02   1.522418e-04
  3.596040e-01   4.953900e-02   1.459927e-04
  3.750222e-01   4.828836e-02   1.422081e-04
  3.911014e-01   4.727997e-02   1.369177e-04
  4.078701e-01   4.604632e-02   1.140697e-04
  4.253577e-01   4.440863e-02   1.098101e-04
  4.435951e-01   4.332750e-02   1.238232e-04
  4.626144e-01   4.198072e-02   1.041468e-04
  4.824492e-01   4.060384e-02   1.003622e-04
  5.031345e-01   3.896791e-02   8.992361e-05
  5.247066e-01   3.764971e-02   1.002591e-04
  5.472036e-01   3.620041e-02   8.830677e-05
  5.706652e-01   3.444138e-02   8.278477e-05
  5.951327e-01   3.322581e-02   7.883704e-05
  6.206493e-01   3.183665e-02   7.589251e-05
  6.472599e-01   3.025756e-02   6.692268e-05
  6.750115e-01   2.862377e-02   6.429648e-05
  7.039529e-01   2.722996e-02   6.207646e-05
  7.341352e-01   2.567215e-02   5.982881e-05
  7.656116e-01   2.426671e-02   5.350393e-05
  7.984376e-01   2.276341e-02   5.162889e-05
  8.326709e-01   2.145271e-02   4.983241e-05
  8.683721e-01   2.033230e-02   4.821781e-05
  9.056039e-01   1.897227e-02   4.352349e-05
  9.444321e-01   1.768068e-02   4.196461e-05
  9.849251e-01   1.648090e-02   3.825560e-05
  1.027154e+00   1.541750e-02   3.938052e-05
  1.071194e+00   1.430147e-02   3.449242e-05
  1.117122e+00   1.325746e-02   3.654143e-05
  1.165019e+00   1.225522e-02   3.325082e-05
  1.214970e+00   1.134596e-02   3.035581e-05
  1.267062e+00   1.047875e-02   3.074928e-05
  1.321388e+00   9.625069e-03   2.772117e-05
  1.378043e+00   8.879702e-03   2.735306e-05
  1.437127e+00   8.153787e-03   2.608249e-05
  1.498745e+00   7.488770e-03   2.416911e-05
  1.563004e+00   6.846269e-03   2.342934e-05
  1.630018e+00   6.232781e-03   2.222765e-05
  1.699906e+00   5.681022e-03   2.067900e-05
  1.772791e+00   5.162575e-03   2.004842e-05
  1.848800e+00   4.740938e-03   1.886344e-05
  1.928068e+00   4.331681e-03   1.827671e-05
  2.010735e+00   3.940446e-03   1.766626e-05
  2.096946e+00   3.590996e-03   1.667663e-05
  2.186853e+00   3.268640e-03   1.670123e-05
  2.280616e+00   2.983943e-03   1.735689e-05
  2.378398e+00   2.709408e-03   1.702596e-05
  2.480373e+00   2.458937e-03   1.741307e-05
  2.586720e+00   2.173515e-03   1.802213e-05
  2.697627e+00   2.038945e-03   1.748464e-05
  2.813289e+00   1.837834e-03   1.767563e-05
  2.933910e+00   1.708641e-03   1.668495e-05
  3.059703e+00   1.563105e-03   1.612673e-05
  3.190889e+00   1.435797e-03   1.561302e-05
  3.327699e+00   1.295889e-03   1.555920e-05
  3.470376e+00   1.213343e-03   1.498430e-05
  3.619170e+00   1.135574e-03   1.676578e-05
  3.774344e+00   1.032218e-03   1.782393e-05
  3.936170e+00   1.012671e-03   1.819936e-05
  4.104935e+00   9.086271e-04   1.857148e-05
  4.280936e+00   8.513378e-04   2.012944e-05
  4.464483e+00   7.858526e-04   2.285860e-05
  4.655900e+00   7.382927e-04   2.602345e-05
  4.855524e+00   6.661548e-04   3.399516e-05
  4.958523e+00   2.044718e-04   1.420834e-04
range-from: 1
range-to: 1000
range-from: 1
range-to: 1000
datop-operation: /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_002.dat SUB /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_001.dat
parent: 4p77.dat
creator: datregrid
creator-version: 14885 (r14885)
