Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_0p21_Hst1_HS_Buffer/frames/0.21 mgml/avrg_002.dat /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_0p21_Hst1_HS_Buffer/frames/0.21 mgml/avrg_001.dat
  6.590866e-01   1.650900e-03   1.164881e-04
  6.639723e-01   1.404240e-03   1.150834e-04
  6.688580e-01   1.611500e-03   1.147238e-04
  6.737437e-01   1.417950e-03   1.135525e-04
  6.786295e-01   1.292840e-03   1.139215e-04
  6.835152e-01   1.465430e-03   1.132053e-04
  6.884009e-01   1.226940e-03   1.120795e-04
  6.932866e-01   1.511990e-03   1.122571e-04
  6.981723e-01   1.293190e-03   1.121953e-04
  7.030581e-01   1.169240e-03   1.105326e-04
  7.079438e-01   1.292870e-03   1.099910e-04
  7.128295e-01   1.382620e-03   1.100525e-04
  7.177152e-01   1.323600e-03   1.102551e-04
  7.226010e-01   1.340710e-03   1.092920e-04
  7.274867e-01   1.371820e-03   1.084355e-04
  7.323724e-01   1.128720e-03   1.088082e-04
  7.372581e-01   1.292530e-03   1.073658e-04
  7.421439e-01   1.127890e-03   1.071006e-04
  7.470296e-01   1.295740e-03   1.072232e-04
  7.519153e-01   1.323640e-03   1.071065e-04
  7.568010e-01   1.349830e-03   1.063638e-04
  7.616867e-01   1.168610e-03   1.052410e-04
  7.665725e-01   1.132080e-03   1.053274e-04
  7.714582e-01   1.520440e-03   1.053870e-04
  7.763439e-01   1.371240e-03   1.045934e-04
  7.812296e-01   1.145250e-03   1.038821e-04
  7.861154e-01   1.119280e-03   1.039597e-04
  7.910011e-01   1.307970e-03   1.041332e-04
  7.958868e-01   1.057260e-03   1.025880e-04
  8.007725e-01   1.140400e-03   1.021326e-04
  8.056582e-01   1.355240e-03   1.027442e-04
  8.105440e-01   1.148330e-03   1.019667e-04
  8.154297e-01   1.196750e-03   1.018228e-04
  8.203154e-01   1.161320e-03   1.008900e-04
  8.252011e-01   1.182360e-03   1.013752e-04
  8.300869e-01   1.179840e-03   1.002516e-04
  8.349726e-01   1.132520e-03   1.001442e-04
  8.398583e-01   1.039940e-03   9.989616e-05
  8.447440e-01   1.188370e-03   1.000284e-04
  8.496298e-01   1.220590e-03   9.923657e-05
  8.545155e-01   1.068750e-03   9.811064e-05
  8.594012e-01   1.096350e-03   9.880283e-05
  8.642869e-01   1.068720e-03   9.833941e-05
  8.691726e-01   9.829200e-04   9.752519e-05
  8.740584e-01   1.045390e-03   9.740001e-05
  8.789441e-01   1.093730e-03   9.747845e-05
  8.838298e-01   1.280200e-03   9.675585e-05
  8.887155e-01   1.061300e-03   9.646834e-05
  8.936013e-01   1.032440e-03   9.599633e-05
  8.984870e-01   1.029490e-03   9.635677e-05
  9.033727e-01   1.086930e-03   9.517239e-05
  9.082584e-01   1.192600e-03   9.520071e-05
  9.131441e-01   1.046200e-03   9.467474e-05
  9.180299e-01   1.088290e-03   9.505055e-05
  9.229156e-01   1.062020e-03   9.426020e-05
  9.278013e-01   1.012430e-03   9.335300e-05
  9.326870e-01   1.070080e-03   9.438416e-05
  9.375728e-01   9.492100e-04   9.353756e-05
  9.424585e-01   1.065720e-03   9.297075e-05
  9.473442e-01   9.426700e-04   9.244512e-05
  9.522299e-01   9.089900e-04   9.308329e-05
  9.571157e-01   9.685700e-04   9.208120e-05
  9.620014e-01   9.038400e-04   9.204720e-05
  9.668871e-01   6.851800e-04   9.143830e-05
  9.717728e-01   9.826200e-04   9.167215e-05
  9.766585e-01   1.014360e-03   9.095040e-05
  9.815443e-01   9.354900e-04   9.064669e-05
  9.864300e-01   9.660300e-04   9.081251e-05
  9.913157e-01   9.997600e-04   9.106780e-05
  9.962014e-01   8.332100e-04   9.007820e-05
  1.001087e+00   1.035710e-03   8.959473e-05
  1.005973e+00   1.001900e-03   9.029117e-05
  1.010859e+00   1.019940e-03   8.989412e-05
  1.015744e+00   1.007170e-03   8.887401e-05
  1.020630e+00   8.415800e-04   8.922802e-05
  1.025516e+00   9.703400e-04   8.942098e-05
  1.030401e+00   8.617700e-04   8.850923e-05
  1.035287e+00   9.491900e-04   8.825608e-05
  1.040173e+00   8.449200e-04   8.846357e-05
  1.045059e+00   8.923300e-04   8.824522e-05
  1.049944e+00   9.692000e-04   8.808444e-05
  1.054830e+00   9.775500e-04   8.753914e-05
  1.059716e+00   9.558400e-04   8.764298e-05
  1.064602e+00   7.631400e-04   8.765560e-05
  1.069487e+00   7.652000e-04   8.682823e-05
  1.074373e+00   1.057600e-03   8.674748e-05
  1.079259e+00   8.330500e-04   8.798052e-05
  1.084144e+00   1.072840e-03   8.850164e-05
  1.089030e+00   8.723000e-04   8.881837e-05
  1.093916e+00   8.250300e-04   8.863914e-05
  1.098802e+00   8.031800e-04   8.904817e-05
  1.103687e+00   7.404100e-04   8.875947e-05
  1.108573e+00   8.091700e-04   8.882086e-05
  1.113459e+00   9.201400e-04   8.911095e-05
  1.118345e+00   8.510400e-04   8.929722e-05
  1.123230e+00   8.495900e-04   8.937178e-05
  1.128116e+00   8.827800e-04   8.875401e-05
  1.133002e+00   8.293300e-04   8.918126e-05
  1.137887e+00   7.932600e-04   8.907935e-05
  1.142773e+00   7.065600e-04   8.878467e-05
  1.147659e+00   6.473100e-04   8.741968e-05
  1.152545e+00   8.426200e-04   8.721667e-05
  1.157430e+00   7.071600e-04   8.649767e-05
  1.162316e+00   8.211300e-04   8.579885e-05
